the_geom,latlong,lat,long,deaths,cartodb_id,created_at,updated_at
0101000020E6100000CDCCCCCCCCAC46404205871744440040,"2.033333, 45.35",2.033333,45.35,2,25,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000000000000000039400000000000003440,"20, 25",20,25,12,26,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000000000000000039407B14AE47E13A3440,"20.23, 25",20.23,25,10,27,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000713B342C460931C02EE411DC48F13440,"20.942518, -17.036227",20.942518,-17.036227,83,28,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000044DD0720B5E125C027F73B1405023540,"21.00789, -10.940835",21.00789,-10.940835,61,29,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000001F85EB51B81E2140CDCCCCCCCCCC3540,"21.8, 8.56",21.8,8.56,46,30,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000ED45B41D53171640295C8FC2F5C83640,"22.785, 5.522778",22.785,5.522778,6,31,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000007427D87F9D694D402FC03E3A75253740,"23.14632, 58.825119",23.14632,58.825119,5,32,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000043E38920CE965640CBF44BC45BAF3740,"23.684994, 90.356331",23.684994,90.356331,1,33,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000001D03B2D7BBDF2FC00AA2EE0390B23740,"23.69751, -15.93698",23.69751,-15.93698,177,34,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000D11F9A7972952640226FB9FAB1CD3740,"23.803497, 11.291889",23.803497,11.291889,234,35,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000067FBF982D734040245F09A4C4163840,"24.088938, 32.899829",24.088938,32.899829,129,36,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000567DAEB662474940A9A44E4013113A40,"26.0667, 50.5577",26.0667,50.5577,1,37,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
